Date,TOTAL_COUNT,AVG_COUNT
3/31/2015,1,1
4/9/2015,4,2.5
4/15/2015,1,2.5
4/17/2015,2,2.33
4/21/2015,1,2
6/5/2015,1,1
6/24/2015,1,1
7/7/2015,1,1
7/13/2015,1,1
7/16/2015,1,1
7/21/2015,1,1
8/17/2015,4,4
10/7/2015,3,3
10/9/2015,5,4
10/24/2015,1,1
11/3/2015,1,1
11/18/2015,1,1
12/16/2015,2,2
12/24/2015,1,1.5
12/28/2015,5,2.67
12/29/2015,1,2.25
12/30/2015,1,2
1/7/2016,6,3.25
1/8/2016,8,4.2
1/11/2016,11,5.4
1/12/2016,9,7
1/13/2016,12,9.2
1/14/2016,9,9.17
1/15/2016,3,8.29
1/18/2016,3,7.63
1/21/2016,4,7.38
1/28/2016,2,3
2/1/2016,2,2.67
2/5/2016,1,1.67
2/8/2016,1,1.5
2/19/2016,22,11.5
2/20/2016,59,27.33
2/22/2016,1,27.33
2/23/2016,15,24.25
3/1/2016,3,20
3/2/2016,3,17.17
3/3/2016,3,15.14
3/4/2016,1,12.14
3/7/2016,10,5.83
3/15/2016,1,3.6
3/16/2016,7,4.4
3/17/2016,3,4.4
3/19/2016,42,12.6
3/20/2016,36,16.5
3/21/2016,15,17.33
3/22/2016,1,15
3/24/2016,15,15
3/29/2016,4,15.38
4/8/2016,1,2.5
4/21/2016,2,1.5
4/26/2016,1,1.5
5/2/2016,1,1.33
5/4/2016,8,3
5/9/2016,1,2.75
5/12/2016,27,9.25
5/13/2016,17,10.8
5/14/2016,12,11
5/17/2016,3,11.33
5/23/2016,24,16.6
5/25/2016,3,14.33
5/26/2016,2,10.17
5/31/2016,3,8
6/1/2016,6,7.6
6/2/2016,21,9.83
6/3/2016,66,17.86
6/6/2016,24,17.86
6/7/2016,301,53.25
6/8/2016,26322,3343.13
6/16/2016,1,5342.8
6/19/2016,6,5330.8
6/20/2016,1,5326.2
6/21/2016,1,5266.2
6/24/2016,2,2.2
6/29/2016,8,3.17
6/30/2016,1,3.17
7/4/2016,1,2.6
7/6/2016,2,2.8
7/7/2016,1,2.5
7/13/2016,3,1.6
7/14/2016,5,2.4
7/18/2016,2,2.6
7/22/2016,1,2.75
7/25/2016,5,3.2
7/28/2016,3,2.75
8/2/2016,2,2.75
8/3/2016,1,2.4
8/16/2016,4,2.5
8/17/2016,2,3
8/22/2016,2,2.67
8/23/2016,1,2.25
8/25/2016,2,2.2
8/29/2016,3,2.33
9/8/2016,2,2.5
9/9/2016,4,3
9/15/2016,3,3
10/12/2016,2,2
10/13/2016,1,1.5
10/23/2016,3,2
10/24/2016,4,2.5
10/31/2016,3,3.33
11/3/2016,1,2.75
11/9/2016,1,1.67
11/13/2016,1,1.5
11/18/2016,1,1
11/22/2016,14,4.25
11/23/2016,2,4.5
11/25/2016,1,3.8
11/27/2016,1,3.8
12/2/2016,1,3.8
12/9/2016,20,7.33
12/15/2016,2,7.67
12/20/2016,1,7.67
1/4/2017,8,8
1/5/2017,19,13.5
1/18/2017,1,10
1/19/2017,4,2.5
1/23/2017,1,2
2/3/2017,2,1.5
2/14/2017,2,2
2/15/2017,9,4.33
2/16/2017,5,4.5
2/18/2017,2,4.5
2/20/2017,1,3.8
2/22/2017,6,4.17
3/2/2017,6,3.75
3/3/2017,57,14.4
3/5/2017,18,17.6
3/6/2017,7,18.8
3/7/2017,2,16
3/11/2017,1,15.17
3/13/2017,2,13.29
3/18/2017,1,5.17
3/21/2017,1,1.25
3/22/2017,1,1.2
3/30/2017,1,1
4/4/2017,6,2.67
4/5/2017,1,2.67
4/6/2017,15,5.75
4/7/2017,11,6.8
4/10/2017,3,6.17
4/11/2017,4,5.86
4/12/2017,1,5.25
4/18/2017,1,5.14
4/19/2017,1,5.14
4/27/2017,1,1
5/3/2017,3,2
5/4/2017,7,3.67
5/5/2017,4,3.75
5/8/2017,40,11
5/9/2017,12,11.17
5/10/2017,2,9.86
5/11/2017,1,9.86
5/12/2017,1,8.75
5/14/2017,10,8.89
5/15/2017,3,8.3
5/16/2017,4,7.91
5/17/2017,15,9
5/22/2017,8,6.22
5/23/2017,11,6.11
5/24/2017,17,7.78
6/4/2017,1,9.25
6/5/2017,25,13.5
6/6/2017,1,11
6/14/2017,2,7.25
6/16/2017,2,6.2
6/20/2017,5,3
6/23/2017,2,2.75
6/26/2017,2,2.6
6/27/2017,2,2.5
6/28/2017,8,3.5
6/30/2017,2,3.5
7/3/2017,1,3.14
7/4/2017,8,3.57
7/5/2017,2,3.38
7/6/2017,7,3.78
7/7/2017,2,3.78
7/8/2017,1,3.5
7/9/2017,1,3.27
7/11/2017,1,3.3
7/13/2017,4,2.9
7/17/2017,1,3
7/20/2017,2,1.71
7/25/2017,5,3
7/26/2017,3,3
8/1/2017,12,5.5
8/4/2017,1,5.25
8/6/2017,2,4.6
8/9/2017,1,4
8/11/2017,2,3.6
8/25/2017,66,66
8/30/2017,2,34
8/31/2017,20,29.33
9/1/2017,6,23.5
9/2/2017,30,24.8
9/3/2017,9,22.17
9/4/2017,15,21.14
9/5/2017,3,18.88
9/6/2017,13,18.22
9/7/2017,58,22.2
9/9/2017,4,16
9/11/2017,1,14.64
9/18/2017,2,13.5
9/19/2017,2,13.33
9/23/2017,1,1.5
9/24/2017,1,1.4
9/25/2017,5,2.2
9/26/2017,15,4.33
9/27/2017,74,14.29
9/28/2017,2,12.75
9/29/2017,1,11.44
9/30/2017,3,10.6
10/1/2017,10,10.55
10/2/2017,1,10.45
10/3/2017,1,10.36
10/6/2017,3,9.75
10/10/2017,35,14.44
10/11/2017,4,6.67
10/16/2017,5,9.6
10/26/2017,3,4
10/30/2017,6,4.5
11/2/2017,2,3.67
11/5/2017,1,3
11/6/2017,2,2.8
11/12/2017,1,2.4
11/15/2017,2,1.6
11/20/2017,1,1.33
11/25/2017,3,1.75
11/26/2017,5,2.75
11/29/2017,2,2.75
12/1/2017,1,2.4
12/3/2017,31,7.17
12/6/2017,1,7.17
12/7/2017,3,6.57
12/18/2017,1,1.67
12/19/2017,1,1.5
12/20/2017,1,1.5
12/21/2017,13,4
12/22/2017,2,3.6
12/26/2017,6,4
12/27/2017,2,3.71
12/28/2017,4,3.75
12/29/2017,6,4
1/2/2018,32,8.25
1/3/2018,112,22.13
1/4/2018,60,28
1/5/2018,91,39.13
1/6/2018,9,35.78
1/8/2018,61,38.3
1/9/2018,62,43.9
1/10/2018,28,46.5
1/11/2018,40,50.1
1/12/2018,24,51.9
1/13/2018,6,47.73
1/14/2018,2,43.92
1/15/2018,22,42.23
1/16/2018,22,41.46
1/17/2018,56,37.15
1/18/2018,35,35.23
1/19/2018,22,29.92
1/20/2018,5,29.62
1/21/2018,1,27.57
1/22/2018,41,26.14
1/23/2018,40,24.57
1/24/2018,18,23.86
1/25/2018,11,21.79
1/26/2018,10,20.79
1/29/2018,30,24.25
1/30/2018,15,23.67
1/31/2018,19,20.58
2/1/2018,19,19.25
2/2/2018,27,19.67
2/3/2018,1,19.33
2/4/2018,1,19.33
2/5/2018,35,18.83
2/6/2018,41,18.92
2/7/2018,38,20.58
2/8/2018,24,21.67
2/9/2018,41,24.25
2/11/2018,4,22.69
2/12/2018,27,22.46
2/13/2018,14,22.38
2/14/2018,11,21.77
2/15/2018,65,25.31
2/16/2018,31,25.62
2/19/2018,29,29.55
2/21/2018,69,31.5
2/22/2018,13,30.4
2/23/2018,3,26.6
2/26/2018,15,27.78
2/27/2018,6,26.89
2/28/2018,60,32.33
3/1/2018,13,26.56
3/2/2018,3,23.44
3/5/2018,22,22.67
3/6/2018,12,21.6
3/7/2018,3,15
3/8/2018,6,14.3
3/9/2018,12,15.2
3/11/2018,7,14.45
3/12/2018,44,17.09
3/13/2018,15,17.91
3/14/2018,6,13
3/15/2018,25,14.09
3/16/2018,1,13.91
3/18/2018,2,12.92
3/20/2018,2,11.18
3/21/2018,1,11
3/23/2018,15,11.8
3/26/2018,53,13.33
3/27/2018,6,12.33
3/28/2018,22,14.11
3/30/2018,12,14.13
4/1/2018,3,14.25
4/2/2018,7,13.44
4/3/2018,41,17.78
4/4/2018,89,27.56
4/5/2018,19,26.7
4/6/2018,4,25.6
4/9/2018,10,21.3
4/10/2018,16,22.3
4/11/2018,13,21.4
4/12/2018,44,23.45
4/13/2018,38,25.82
4/15/2018,9,26.36
4/16/2018,26,28.09
4/17/2018,4,24.73
4/18/2018,22,18.64
4/19/2018,19,18.64
4/22/2018,9,19.09
4/23/2018,42,22
4/24/2018,37,23.91
4/27/2018,2,18.89
4/29/2018,10,19
4/30/2018,19,18.22
5/2/2018,6,18
5/3/2018,5,16.25
5/4/2018,5,15
5/6/2018,2,14.22
5/7/2018,10,10.67
5/8/2018,1,6.67
5/9/2018,10,7
5/10/2018,5,6.82
5/11/2018,22,8.64
5/13/2018,22,9.73
5/14/2018,45,12.09
5/15/2018,7,11.67
5/16/2018,17,12.58
5/18/2018,3,13.09
5/21/2018,1,13.3
5/23/2018,2,13.78
5/24/2018,18,15.22
5/30/2018,5,5.8
5/31/2018,6,5.83
6/4/2018,6,7.4
6/5/2018,5,7
6/7/2018,6,5.6
6/8/2018,7,5.83
6/9/2018,6,5.86
6/10/2018,5,5.75
6/11/2018,5,5.67
6/12/2018,61,11.2
6/15/2018,1,11.33
6/17/2018,1,10.3
6/18/2018,6,10.3
6/19/2018,1,9.9
6/21/2018,2,9.5
6/25/2018,3,10.71
6/26/2018,1,2.14
6/28/2018,5,2.5
6/29/2018,2,2.63
6/30/2018,1,2.44
7/1/2018,11,3.56
7/2/2018,1,3
7/9/2018,2,3.29
7/10/2018,4,3.71
7/11/2018,8,4.25
7/12/2018,11,5
7/13/2018,6,5.5
7/14/2018,2,5.63
7/15/2018,1,4.38
7/16/2018,11,5.63
7/20/2018,3,5.33
7/23/2018,6,5.78
7/25/2018,14,6.75
7/27/2018,6,6.14
,,2.4
,,2.6
,,2.75
,,3.33
,,2.75
,,2.75
,,3.2
,,3.25
,,2.75
,,2.75
,,2.75
,,3
,,2.4
,,2.75
,,2.75
,,2.75
,,2
,,2
,,2
,,1.5
,,1.5
,,1.5
,,1.5
,,1.5
,,3
,,3
,,3
,,3
,,2.25
,,2.2
,,2.2
,,2.2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2.5
,,2.5
,,3
,,3
,,3
,,3
,,3
,,3
,,3
,,3
,,3
,,3
,,3
,,3.5
,,3
,,3
,,3
,,3
,,3
,,3
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,1.5
,,1.5
,,1.5
,,1.5
,,1.5
,,1.5
,,1.5
,,1.5
,,1.5
,,2.5
,,2.67
,,3.5
,,3.5
,,3.5
,,3.5
,,3.33
,,3.33
,,2.75
,,2.75
,,2.67
,,2
,,2
,,1.67
,,1.67
,,1.67
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,4.5
,,3.8
,,3.8
,,3.8
,,3.8
,,3.8
,,3.8
,,3.8
,,3.8
,,1.25
,,1
,,1
,,7.33
,,10.5
,,10.5
,,10.5
,,10.5
,,11
,,11
,,11
,,11
,,7.67
,,7.67
,,1.5
,,1.5
,,1.5
,,1.5
,,1.5
,,1.5
,,1
,,1
,,1
,,1
,,1
,,
,,13.5
,,13.5
,,13.5
,,13.5
,,13.5
,,13.5
,,13.5
,,13.5
,,13.5
,,13.5
,,13.5
,,13.5
,,2.5
,,2.5
,,2.5
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2.5
,,1
,,1.5
,,1.5
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,5.33
,,4.5
,,3.8
,,4.17
,,4.17
,,4.17
,,4.17
,,4.17
,,4.6
,,3.5
,,17.5
,,18
,,18
,,18
,,15.17
,,13.29
,,13.29
,,14.5
,,6
,,2.6
,,1.5
,,1.2
,,1.2
,,1.25
,,1.25
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,6.8
,,6.8
,,5.86
,,5.86
,,5.86
,,5.86
,,5.86
,,3.5
,,2
,,2
,,2
,,1.75
,,1
,,1
,,
,,1
,,1
,,1
,,1
,,3.75
,,3.75
,,8.75
,,9.2
,,9.78
,,9.78
,,9.78
,,8.63
,,9.71
,,9.71
,,9.67
,,11
,,12.75
,,12
,,12
,,12
,,12
,,9
,,9
,,9
,,9
,,9
,,9
,,9
,,7.25
,,6.2
,,7.5
,,1.67
,,3
,,3
,,2.75
,,2.75
,,3.5
,,3.5
,,3.5
,,3.4
,,2.78
,,3
,,3
,,3
,,2.38
,,2.43
,,1.67
,,1.8
,,2
,,2
,,2.75
,,2.75
,,2.75
,,2.75
,,3.33
,,5.5
,,6.67
,,5.25
,,4.6
,,4.5
,,4
,,3.6
,,3.6
,,3.6
,,1.5
,,1.5
,,1.5
,,1.67
,,1.67
,,1.5
,,1.5
,,1.5
,,2
,,2
,,66
,,66
,,66
,,66
,,17.33
,,16
,,14.64
,,15.9
,,15.44
,,16.63
,,14.71
,,15.67
,,13.4
,,2.25
,,2.25
,,10.36
,,10.36
,,10.55
,,11.5
,,12.22
,,7.25
,,8.14
,,9
,,8.8
,,11.75
,,11.75
,,11.75
,,14.67
,,14.67
,,14.67
,,14.67
,,4.5
,,5
,,4
,,4
,,4
,,4.5
,,4.5
,,3.67
,,3.67
,,2.8
,,2.8
,,2.75
,,2.75
,,2.75
,,1.5
,,1.5
,,1.5
,,1.5
,,1.5
,,1.67
,,1.33
,,1.33
,,1.33
,,1.33
,,2.75
,,2.75
,,2.75
,,2.4
,,8.4
,,8.4
,,6.57
,,7.17
,,7.6
,,7.6
,,7.6
,,9
,,9
,,11.67
,,11.67
,,2
,,3.6
,,3.6
,,3.6
,,4
,,4
,,4.38
,,35.78
,,21.92
,,23.58
,,24.25
,,27.67
,,30.09
,,28.4
,,26.6
,,29.11
,,23.44
,,23.44
,,15.2
,,13.91
,,12.09
,,11.5
,,11.8
,,12.33
,,12.75
,,14.13
,,25.6
,,25.6
,,25.82
,,20.1
,,20.1
,,25
,,22.89
,,18.89
,,20
,,15
,,8.64
,,13.27
,,13.09
,,14.2
,,14.67
,,14.38
,,14.38
,,13.29
,,8
,,8.2
,,6.4
,,6.4
,,6.4
,,8
,,11.89
,,12.63
,,11.33
,,9.9
,,9.78
,,10.25
,,11
,,2.14
,,3.25
,,3.25
,,3.43
,,3.43
,,3.43
,,3.43
,,5.63
,,5.63
,,5.63
,,5.33
,,5.33
,,6
,,6.14
,,6.83
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,2.5
,,2.5
,,2.5
,,2.5
,,4
,,2.5
,,2.33
,,2.33
,,2.33
,,2
,,1.33
,,1.33
,,1.33
,,1.33
,,1.33
,,1.33
,,1.5
,,1.5
,,1
,,1
,,1
,,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,
,,
,,
,,
,,
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,4
,,4
,,4
,,4
,,4
,,4
,,4
,,4
,,4
,,4
,,4
,,4
,,4
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,3
,,4
,,4
,,4
,,4
,,4
,,4
,,4
,,4
,,4
,,4
,,4
,,5
,,5
,,
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,1.5
,,1.5
,,1.5
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,4.2
,,4.2
,,8.29
,,8.29
,,7.63
,,7.63
,,7.29
,,7.29
,,7.29
,,6.67
,,6.2
,,4.75
,,3
,,3
,,3
,,2.67
,,2.67
,,2
,,1.67
,,1.67
,,1.5
,,1.5
,,1.33
,,1.33
,,1.33
,,1.33
,,1
,,1
,,1
,,1
,,27.33
,,24.25
,,24.25
,,24.25
,,24.25
,,24.25
,,24.25
,,4.33
,,4.33
,,4
,,4
,,4
,,4
,,4
,,4
,,4
,,5.25
,,15
,,15
,,15
,,15
,,15
,,16.57
,,18.83
,,18.83
,,14.2
,,8.75
,,6.67
,,9.5
,,9.5
,,4
,,2.5
,,2.5
,,2.5
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,2
,,2
,,2
,,2
,,1.5
,,1.5
,,1.5
,,1.5
,,1.5
,,1.33
,,3.33
,,3.33
,,3.33
,,3.33
,,3.33
,,3.33
,,11
,,13
,,12
,,12
,,12
,,12
,,12
,,16.6
,,8.8
,,8
,,8
,,8
,,17.86
,,17.86
,,3820.43
,,3820.43
,,3820.43
,,3820.43
,,3820.43
,,4456.67
,,5346.8
,,6662
,,6662
,,2.25
,,2.25
,,2.2
,,2.2
,,2.2
,,2.2
,,3.17
,,3.17
,,2.6
,,3
,,2.6
,,2.6
,,2.6
,,2.6
,,2.6
,,2.4
,,2.4
